bg/ex1/01_roc_r2/dun/r2d1/level	TT1021
bg/ffxiv/fst_f1/ind/f1i6/level	TT574
bg/ffxiv/fst_f1/rad/f1r1/level	TT1039
bg/ffxiv/fst_f1/twn/f1t1/level	TT132
bg/ffxiv/fst_f1/twn/f1t2/level	TT133
bg/ffxiv/fst_f1/twn/f1tg/level	TT534
bg/ffxiv/fst_f1/twn/f1ti/level	TT179
bg/ffxiv/hou_xx/hou/h1m2/level	TT1055
bg/ffxiv/hou_xx/ind/h1i1/level	TT1249
bg/ffxiv/hou_xx/ind/h1i2/level	TT1250
bg/ffxiv/hou_xx/ind/h1i3/level	TT1251
bg/ffxiv/hou_xx/ind/h2i1/level	TT1374
bg/ffxiv/hou_xx/ind/h2i2/level	TT1375
bg/ffxiv/hou_xx/ind/h2i3/level	TT1376
bg/ffxiv/lak_l1/dun/l1d1/level	TT1063
bg/ffxiv/lak_l1/evt/l1e1/level	TT351
bg/ffxiv/lak_l1/evt/l1e2/level	TT504
bg/ffxiv/lak_l1/evt/l1e3/level	TT636
bg/ffxiv/lak_l1/evt/l1e4/level	STAGE:1-CHIP
bg/ffxiv/lak_l1/evt/l1e5/level	TT842
bg/ffxiv/lak_l1/fld/l1f1/level	TT156
bg/ffxiv/lak_l1/pvp/l1p1/level	TT376
bg/ffxiv/lak_l1/rad/l1r1/level	TT174
bg/ffxiv/lak_l1/rad/l1r2/level	TT372
bg/ffxiv/lak_l1/rad/l1r3/level	TT151
bg/ffxiv/lak_l1/rad/l1rz/level	TT1241
bg/ffxiv/ocn_o1/ang/o1a1/level	TT900
bg/ffxiv/ocn_o1/ang/o1a2/level	TT1163
bg/ffxiv/ocn_o1/evt/o1e1/level	STAGE:1-CHIP
bg/ffxiv/ocn_o1/evt/o1e2/level	TT286
bg/ffxiv/ocn_o1/fld/o1fa/level	TT281
bg/ffxiv/pvp_xx/pvp/d2p1/level	TT729
bg/ffxiv/pvp_xx/pvp/e3p1/level	TT888
bg/ffxiv/pvp_xx/pvp/l1p3/level	TT1273
bg/ffxiv/pvp_xx/pvp/r2p1/level	TT554
bg/ffxiv/pvp_xx/pvp/s2p1/level	TT431
bg/ffxiv/pvp_xx/pvp/s5p1/level	TT1032
bg/ffxiv/pvp_xx/pvp/s5p2/level	TT1033
bg/ffxiv/pvp_xx/pvp/s5p3/level	TT1034
bg/ffxiv/pvp_xx/pvp/s5p4/level	TT1116
bg/ffxiv/pvp_xx/pvp/s5p5/level	TT1138
bg/ffxiv/pvp_xx/pvp/s5p6/level	TT1293
bg/ffxiv/pvp_xx/pvp/s5p7/level	TT1357
bg/ffxiv/pvp_xx/pvp/w1p1/level	TT791
bg/ffxiv/pvp_xx/pvp/y6p1/level	TT1313
bg/ffxiv/roc_r1/dun/r1d1/level	TT1042
bg/ffxiv/roc_r1/dun/r1d2/level	TT365
bg/ffxiv/roc_r1/dun/r1d3/level	TT1062
bg/ffxiv/roc_r1/evt/r1e1/level	STAGE:1-CHIP
bg/ffxiv/roc_r1/evt/r1e2/level	TT395
bg/ffxiv/roc_r1/evt/r1e3/level	TT569
bg/ffxiv/roc_r1/fld/r1f1/level	TT155
bg/ffxiv/roc_r1/fld/r1fa/level	TT294
bg/ffxiv/roc_r1/fld/r1fb/level	TT366
bg/ffxiv/roc_r1/fld/r1fc/level	TT377
bg/ffxiv/roc_r1/fld/r1fd/level	TT1068
bg/ffxiv/roc_r1/fld/r1fe/level	TT559
bg/ffxiv/roc_r1/fld/r1fz/level	TT968
bg/ffxiv/roc_r1/hou/r1h1/level	TT979
bg/ffxiv/roc_r1/hou/r1hx/level	TT886
bg/ffxiv/roc_r1/ind/r1i1/level	TT980
bg/ffxiv/roc_r1/ind/r1i2/level	TT981
bg/ffxiv/roc_r1/ind/r1i3/level	TT982
bg/ffxiv/roc_r1/ind/r1i4/level	TT983
bg/ffxiv/roc_r1/ind/r1i5/level	TT984
bg/ffxiv/roc_r1/ind/r1i6/level	TT985
bg/ffxiv/roc_r1/rad/r1r1/level	TT171
bg/ffxiv/roc_r1/rad/r1r2/level	TT172
bg/ffxiv/sea_s1/bah/s1b1/level	TT241
bg/ffxiv/sea_s1/bah/s1b2/level	TT242
bg/ffxiv/sea_s1/bah/s1b3/level	TT243
bg/ffxiv/sea_s1/bah/s1b4/level	TT244
bg/ffxiv/sea_s1/bah/s1b5/level	TT245
bg/ffxiv/sea_s1/bah/s1b7/level	TT247
bg/ffxiv/sea_s1/dun/s1d1/level	TT1016
bg/ffxiv/sea_s1/dun/s1d2/level	TT1041
bg/ffxiv/sea_s1/dun/s1d3/level	TT159
bg/ffxiv/sea_s1/dun/s1d4/level	TT160
bg/ffxiv/sea_s1/dun/s1d5/level	TT361
bg/ffxiv/sea_s1/dun/s1d6/level	TT362
bg/ffxiv/sea_s1/dun/s1d7/level	TT387
bg/ffxiv/sea_s1/dun/s1d8/level	TT188
bg/ffxiv/sea_s1/dun/s1d9/level	TT510
bg/ffxiv/sea_s1/dun/s1da/level	TT557
bg/ffxiv/sea_s1/evt/s1e4/level	TT198
bg/ffxiv/sea_s1/evt/s1e5/level	STAGE:1-CHIP
bg/ffxiv/sea_s1/evt/s1e6/level	STAGE:1-CHIP
bg/ffxiv/sea_s1/evt/s1e8/level	TT899
bg/ffxiv/sea_s1/evt/s1e9/level	TT1335
bg/ffxiv/sea_s1/fld/s1f1/level	TT134
bg/ffxiv/sea_s1/fld/s1f2/level	TT135
bg/ffxiv/sea_s1/fld/s1f3/level	TT137
bg/ffxiv/sea_s1/fld/s1f4/level	TT138
bg/ffxiv/sea_s1/fld/s1f5/level	TT139
bg/ffxiv/sea_s1/fld/s1f6/level	TT180
bg/ffxiv/sea_s1/fld/s1fa/level	TT293
bg/ffxiv/sea_s1/fld/s1fb/level	TT389
bg/ffxiv/sea_s1/hou/s1h1/level	TT136
bg/ffxiv/sea_s1/ind/s1i1/level	TT282
bg/ffxiv/sea_s1/ind/s1i2/level	TT283
bg/ffxiv/sea_s1/ind/s1i3/level	TT284
bg/ffxiv/sea_s1/ind/s1i4/level	TT384
bg/ffxiv/sea_s1/ind/s1i5/level	TT423
bg/ffxiv/sea_s1/ind/s1i6/level	TT573
bg/ffxiv/sea_s1/pvp/s1p1/level	TT250
bg/ffxiv/sea_s1/pvp/s1p2/level	TT537
bg/ffxiv/sea_s1/pvp/s1p3/level	TT506
bg/ffxiv/sea_s1/pvp/s1p5/level	TT149
bg/ffxiv/sea_s1/pvp/s1p6/level	TT1127
bg/ffxiv/sea_s1/twn/s1t1/level	TT128
bg/ffxiv/sea_s1/twn/s1t2/level	TT129
bg/ffxiv/sea_s1/twn/s1tg/level	TT536
bg/ffxiv/sea_s1/twn/s1ti/level	TT177
bg/ffxiv/wil_w1/bah/w1b1/level	TT193
bg/ffxiv/wil_w1/bah/w1b2/level	TT194
bg/ffxiv/wil_w1/bah/w1b3/level	TT195
bg/ffxiv/wil_w1/bah/w1b4/level	TT196
bg/ffxiv/wil_w1/bah/w1b5/level	TT246
bg/ffxiv/wil_w1/cnt/w1c1/level	TT558
bg/ffxiv/wil_w1/dun/w1d1/level	TT1038
bg/ffxiv/wil_w1/dun/w1d2/level	TT369
bg/ffxiv/wil_w1/dun/w1d3/level	TT1267
bg/ffxiv/wil_w1/dun/w1d4/level	TT1043
bg/ffxiv/wil_w1/dun/w1d5/level	TT1044
bg/ffxiv/wil_w1/dun/w1d6/level	TT349
bg/ffxiv/wil_w1/dun/w1d7/level	TT142
bg/ffxiv/wil_w1/dun/w1d8/level	TT367
bg/ffxiv/wil_w1/evt/w1e4/level	TT210
bg/ffxiv/wil_w1/evt/w1e5/level	STAGE:1-CHIP
bg/ffxiv/wil_w1/evt/w1e6/level	TT212
bg/ffxiv/wil_w1/evt/w1e8/level	STAGE:1-CHIP
bg/ffxiv/wil_w1/evt/w1e9/level	STAGE:1-CHIP
bg/ffxiv/wil_w1/evt/w1ea/level	STAGE:1-CHIP
bg/ffxiv/wil_w1/evt/w1eb/level	TT144
bg/ffxiv/wil_w1/evt/w1ec/level	STAGE:1-CHIP
bg/ffxiv/wil_w1/evt/w1ed/level	TT388
bg/ffxiv/wil_w1/evt/w1ee/level	TT579
bg/ffxiv/wil_w1/evt/w1ef/level	TT611
bg/ffxiv/wil_w1/evt/w1eg/level	TT792
bg/ffxiv/wil_w1/evt/w1eh/level	TT831
bg/ffxiv/wil_w1/evt/w1ei/level	TT832
bg/ffxiv/wil_w1/evt/w1ej/level	TT971
bg/ffxiv/wil_w1/evt/w1ek/level	TT1165
bg/ffxiv/wil_w1/evt/w1el/level	TT1197
bg/ffxiv/wil_w1/evt/w1em/level	TT1255
bg/ffxiv/wil_w1/fld/w1f1/level	TT140
bg/ffxiv/wil_w1/fld/w1f2/level	TT141
bg/ffxiv/wil_w1/fld/w1f3/level	TT145
bg/ffxiv/wil_w1/fld/w1f4/level	TT146
bg/ffxiv/wil_w1/fld/w1f5/level	TT147
bg/ffxiv/wil_w1/fld/w1fa/level	TT292
bg/ffxiv/wil_w1/fld/w1fb/level	TT348
bg/ffxiv/wil_w1/fld/w1fc/level	TT390
bg/ffxiv/wil_w1/fld/w1fd/level	TT1166
bg/ffxiv/wil_w1/fld/w1fz/level	TT777
bg/ffxiv/wil_w1/hou/w1h1/level	TT341
bg/ffxiv/wil_w1/ind/w1i1/level	TT345
bg/ffxiv/wil_w1/ind/w1i2/level	TT346
bg/ffxiv/wil_w1/ind/w1i3/level	TT347
bg/ffxiv/wil_w1/ind/w1i4/level	TT386
bg/ffxiv/wil_w1/ind/w1i5/level	TT424
bg/ffxiv/wil_w1/ind/w1i6/level	TT575
bg/ffxiv/wil_w1/rad/w1r1/level	TT1020
bg/ffxiv/wil_w1/twn/w1t1/level	TT130
bg/ffxiv/wil_w1/twn/w1t2/level	TT131
bg/ffxiv/wil_w1/twn/w1tg/level	TT535
bg/ffxiv/wil_w1/twn/w1ti/level	TT178
bg/ffxiv/wil_w1/twn/w1tz/level	TT796
bg/ffxiv/zon_z1/evt/z1e1/level	STAGE:2-EVT-NoTT-MISSING-FROM-CHIP
bg/ffxiv/zon_z1/evt/z1e2/level	STAGE:2-EVT-NoTT-MISSING-FROM-CHIP
bg/ffxiv/zon_z1/evt/z1e3/level	STAGE:1-CHIP
bg/ffxiv/zon_z1/evt/z1e4/level	STAGE:1-CHIP
bg/ffxiv/zon_z1/evt/z1e5/level	TT276
bg/ffxiv/zon_z1/evt/z1e6/level	STAGE:1-CHIP
bg/ffxiv/zon_z1/evt/z1e7/level	STAGE:1-CHIP
bg/ffxiv/zon_z1/evt/z1e8/level	STAGE:1-CHIP
bg/ffxiv/zon_z1/evt/z1e9/level	TT426
bg/ffxiv/zon_z1/evt/z1eb/level	STAGE:2-EVT-NoTT-MISSING-FROM-CHIP
bg/ffxiv/zon_z1/jai/z1j1/level	TT176
